Title,Type,Price,Location,Baths,Area,Beds,Amenities,Link
10 Marla Top Heighted Back Open Brand New House For Sale,House,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,5,Parking Spaces: 2; Double Glazed Windows; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Bedrooms: 5; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 2; Powder Room; Lounge or Sitting Room; Laundry Room; ,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c3_10_marla_top_heighted_back_open_brand_new_house_for_sale-45056380-11989-1.html
5 Marla Brand New House Available For Sale,House,PKR2.08 Crore,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,3,Parking Spaces; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Bedrooms: 3; Bathrooms: 4; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Prayer Room; Powder Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Lawn or Garden; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_brand_new_house_available_for_sale-45000649-11975-1.html
Brand New 5 Mrla hill view House For Sale In Sector N bahria enclave,House,PKR2.05 Crore,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,3,Parking Spaces: 1; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Bedrooms: 3; Bathrooms: 4; Servant Quarters: 1; Drawing Room; Powder Room; Lounge or Sitting Room; Laundry Room; ,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_brand_new_5_mrla_hill_view_house_for_sale_in_sector_n_bahria_enclave-44754828-11975-1.html
10 Marla Brand New House Available For Sale,House,PKR3.85 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,4,Parking Spaces; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Bedrooms: 4; Bathrooms: 5; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 2; Prayer Room; Powder Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Other Business and Communication Facilities; Community Lawn or Garden; Community Gym; First Aid or Medical Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Lawn or Garden; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_10_marla_brand_new_house_available_for_sale-45190663-11988-1.html
An excellent apartment 2642 sqrft/ Centaurus is available for sale,Flat,PKR15 Crore,"F-8, Islamabad, Islamabad Capital",4,11.7 Marla,3,Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 3; Bathrooms: 2; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms: 1; Steam Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Sauna; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Nearby Public Transport Service; ,https://www.zameen.com/Property/f_8_the_centaurus_an_excellent_apartment_2642_sqrft_centaurus_is_available_for_sale-46185446-8349-1.html
2 Bed Apartment (1182 Sq Feet) For Sale In Islamabad,Flat,PKR3.85 Crore,"DHA Defence, Islamabad, Islamabad Capital",2,5.3 Marla,2,Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Gym; Laundry Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_2_bed_apartment_1182_sq_feet_for_sale_in_islamabad-45908169-10991-1.html
2 Bed Apartment (1182 Sq Feet) For Sale In Islamabad,Flat,PKR3.85 Crore,"E-11, Islamabad, Islamabad Capital",2,5.3 Marla,2,Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Gym; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Sauna; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/islamabad_e-11_2_bed_apartment_1182_sq_feet_for_sale_in_islamabad-45806292-329-1.html
2 Bed Apartment (1125 Sq Feet) For Sale In Islamabad,Flat,PKR3.85 Crore,"F-11, Islamabad, Islamabad Capital",2,5 Marla,2,Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 2; Bathrooms: 2; Dining Room; Kitchens: 1; Prayer Room; Gym; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; ATM Machines; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Sauna; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Other Nearby Places; ,https://www.zameen.com/Property/islamabad_f-11_2_bed_apartment_1125_sq_feet_for_sale_in_islamabad-46388585-163-1.html
2 Bedroom Apartment with servant quartar Available In Eighteen - Golf Course View,Flat,PKR4.39 Crore,"Kashmir Highway, Islamabad, Islamabad Capital",2,6.5 Marla,2,Built in year: 2023; Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Floors in Building: 5; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 2; Bathrooms: 2; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms: 1; Steam Room; Lounge or Sitting Room; Laundry Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Sauna; Jacuzzi; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; ,https://www.zameen.com/Property/kashmir_highway_eighteen_2_bedroom_apartment_with_servant_quartar_available_in_eighteen_-_golf_course_view-46460106-12602-1.html
"Luxurious 3-bed apartment + servant quarter in Eighteen with 100% golf course view for sale. Modern amenities, serene surroundings.",Flat,PKR6.03 Crore,"Kashmir Highway, Islamabad, Islamabad Capital",3,8.9 Marla,3,Built in year: 2023; Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Floors in Building: 5; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 3; Bathrooms: 3; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms: 1; Steam Room; Lounge or Sitting Room; Laundry Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Sauna; Jacuzzi; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; ,https://www.zameen.com/Property/kashmir_highway_eighteen_luxurious_3-bed_apartment_servant_quarter_in_eighteen_with_100_golf_course_view_for_sale_modern_amenities_serene_surroundings-46462110-12602-1.html
